400 4 5
0.339215 0.838898 0.417647 0.522505 
0.841175 0.338063 0.919608 0.021526 
0.213725 0.713689 0.794118 0.647750 
0.715685 0.212855 0.292157 0.146771 
0.464705 0.463272 0.543137 0.397260 
0.966666 0.964107 0.041176 0.898239 
0.056862 0.432387 0.950980 0.178082 
0.558823 0.933222 0.449020 0.679061 
0.307842 0.682805 0.700000 0.929550 
0.809803 0.181970 0.198039 0.428571 
0.182352 0.808013 0.072549 0.804305 
0.684313 0.307179 0.574510 0.303327 
0.433332 0.056761 0.323529 0.052838 
0.935293 0.557596 0.825490 0.553816 
0.119607 0.620200 0.260784 0.491194 
0.621568 0.119366 0.762745 0.992172 
0.370587 0.369783 0.009804 0.741683 
0.872548 0.870618 0.511765 0.240705 
0.245097 0.244574 0.637255 0.616438 
0.747058 0.745409 0.135294 0.115460 
0.496078 0.995826 0.888235 0.365949 
0.998038 0.494992 0.386275 0.866928 
0.005883 0.499165 0.656863 0.283757 
0.507843 1.000000 0.154902 0.784736 
0.256863 0.749583 0.907843 0.534247 
0.758824 0.248748 0.405882 0.033268 
0.131373 0.874791 0.280392 0.659491 
0.633334 0.373957 0.782353 0.158513 
0.382353 0.123539 0.029412 0.409002 
0.884314 0.624374 0.531373 0.909980 
0.068628 0.561770 0.092157 0.095890 
0.570589 0.060935 0.594118 0.596869 
0.319608 0.311352 0.343137 0.847358 
0.821569 0.812187 0.845098 0.346380 
0.194118 0.186144 0.970588 0.972603 
0.696079 0.686978 0.468627 0.471624 
0.445098 0.937396 0.719608 0.221135 
0.947059 0.436561 0.217647 0.722114 
